日経平均先物,期近限月つなぎ,日中夜間
日付,時刻,始値,高値,安値,終値,出来高,売買代金
2014-10-24,夜間,15360,15430,15270,15410,30632,470539420
2014-10-24,日中,15380,15390,15230,15330,60928,932613550
2014-10-23,夜間,15110,15450,15110,15450,34813,532660120
2014-10-23,日中,15110,15240,15060,15140,43265,654958570
2014-10-22,夜間,15150,15280,15110,15140,28168,427755750
2014-10-22,日中,15070,15200,14990,15160,53530,808743730
2014-10-21,夜間,14810,15010,14780,14990,33860,505273240
2014-10-21,日中,15110,15110,14760,14780,80100,1195893230
2014-10-20,夜間,15090,15110,14990,15100,32372,487407950
2014-10-20,日中,14920,15120,14900,15120,69570,1045307850
2014-10-17,夜間,14560,14840,14550,14780,47811,704080240
2014-10-17,日中,14810,14840,14530,14530,79559,1166337030
2014-10-16,夜間,14790,14800,14370,14750,85468,1245070650
2014-10-16,日中,14710,14820,14670,14720,73989,1090412790
2014-10-15,夜間,15080,15080,14480,14550,80109,1181438070
2014-10-15,日中,15010,15100,14910,15070,60244,904592900
2014-10-14,夜間,14910,15020,14800,14980,52383,781644660
2014-10-14,日中,14960,15110,14900,14900,81379,1220379380
2014-10-10,夜間,15360,15410,15170,15230,51401,785309760
2014-10-10,日中,15300,15360,15220,15340,72175,1104205110
2014-10-09,夜間,15500,15590,15290,15340,55322,855033800
2014-10-09,日中,15680,15750,15470,15500,67659,1056396350
2014-10-08,夜間,15620,15630,15460,15610,42745,663833450
2014-10-08,日中,15570,15660,15520,15620,51150,797352370
2014-10-07,夜間,15810,15810,15620,15660,33843,531343230
2014-10-07,日中,15820,15930,15760,15820,51233,811610870
2014-10-06,夜間,15910,15940,15760,15800,25498,404406710
2014-10-06,日中,15910,15980,15810,15940,49564,788250160
2014-10-03,夜間,15720,15950,15710,15920,34275,543189710
2014-10-03,日中,15640,15780,15560,15760,79716,1248406540
2014-10-02,夜間,15680,15720,15370,15510,54185,844315410
2014-10-02,日中,15920,15940,15650,15710,90830,1434632310
2014-10-01,夜間,16130,16150,15900,15920,25813,413791970
2014-10-01,日中,16170,16250,16090,16110,45303,732089440
2014-09-30,夜間,16150,16230,16120,16160,21278,344329220
2014-09-30,日中,16240,16250,16070,16140,50478,815402050
2014-09-29,夜間,16300,16310,16160,16270,21453,348327270
2014-09-29,日中,16360,16360,16270,16310,45249,738420470
2014-09-26,夜間,16250,16350,16230,16350,21169,345152290
2014-09-26,日中,16110,16270,16110,16270,45669,740298030
2014-09-25,夜間,16310,16360,16090,16110,32350,524933870
2014-09-25,日中,16250,16290,16230,16280,36896,600081070
2014-09-24,夜間,16070,16240,16060,16240,20988,338948550
2014-09-24,日中,16010,16140,16000,16100,33665,540923580
2014-09-22,夜間,16160,16210,16090,16120,16744,270593290
2014-09-22,日中,16180,16210,16080,16160,42138,680371900
2014-09-19,夜間,16230,16250,16160,16190,22154,359147170
2014-09-19,日中,16100,16300,16100,16220,84086,1362974340
2014-09-18,夜間,16000,16160,15990,16130,22767,366241880
2014-09-18,日中,15950,16030,15920,16000,51122,816950510
2014-09-17,夜間,15810,15860,15790,15850,10078,159458120
2014-09-17,日中,15880,15890,15790,15800,28802,456345760
2014-09-16,夜間,15830,15920,15790,15890,18455,292220800
2014-09-16,日中,15840,15870,15760,15860,41047,649532450
2014-09-12,夜間,15860,15870,15800,15800,15746,249516690
2014-09-12,日中,15870,15920,15810,15880,49986,793068010
2014-09-11,夜間,15830,15850,15740,15780,21118,333587610
2014-09-11,日中,15900,15930,15850,15910,47012,747011320
2014-09-10,夜間,15800,15890,15790,15880,40260,637848690
2014-09-10,日中,15660,15800,15650,15800,75109,1180394440
2014-09-09,夜間,15790,15790,15680,15730,41102,646939130
2014-09-09,日中,15800,15810,15720,15750,55652,877644740
2014-09-08,夜間,15690,15790,15660,15750,29381,461512470
2014-09-08,日中,15720,15730,15650,15720,41903,657936810
2014-09-05,夜間,15680,15690,15560,15650,29077,454138960
2014-09-05,日中,15800,15800,15640,15690,46280,727458410
2014-09-04,夜間,15670,15770,15610,15770,22434,352069090
2014-09-04,日中,15700,15740,15660,15660,34428,540297680
2014-09-03,夜間,15720,15800,15700,15730,20007,315114890
2014-09-03,日中,15790,15840,15690,15700,53806,848707750
2014-09-02,夜間,15720,15850,15700,15770,25515,402505260
2014-09-02,日中,15520,15750,15510,15670,56204,879644860
2014-09-01,夜間,15470,15490,15460,15470,3082,47684590
2014-09-01,日中,15460,15490,15440,15480,15340,237247620
2014-08-29,夜間,15440,15470,15370,15430,16361,252437610
2014-08-29,日中,15410,15450,15350,15420,43896,676164180
2014-08-28,夜間,15450,15460,15340,15400,18812,289543990
2014-08-28,日中,15490,15490,15420,15470,26207,405026860
2014-08-27,夜間,15510,15520,15450,15490,10532,163046100
2014-08-27,日中,15550,15590,15460,15520,29138,452502710
2014-08-26,夜間,15510,15570,15460,15550,13879,215280530
2014-08-26,日中,15600,15610,15500,15530,26315,409103430
2014-08-25,夜間,15610,15620,15580,15600,8872,138351160
2014-08-25,日中,15590,15630,15550,15620,21983,342848460
2014-08-22,夜間,15550,15560,15450,15550,18901,293276270
2014-08-22,日中,15620,15630,15500,15550,31781,494642580
2014-08-21,夜間,15530,15640,15530,15630,11463,178689980
2014-08-21,日中,15530,15600,15520,15550,38554,599955020
2014-08-20,夜間,15420,15470,15400,15450,7788,120149560
2014-08-20,日中,15480,15490,15420,15420,29193,451261020
2014-08-19,夜間,15460,15480,15410,15470,9626,148692880
2014-08-19,日中,15450,15480,15420,15430,23995,370751290
2014-08-18,夜間,15360,15440,15350,15420,9683,148952860
2014-08-18,日中,15340,15370,15300,15330,17978,275595170
2014-08-15,夜間,15340,15390,15210,15240,24327,372180520
2014-08-15,日中,15310,15330,15270,15320,16942,259287290
2014-08-14,夜間,15280,15310,15230,15300,13639,208278890
2014-08-14,日中,15280,15340,15270,15290,29342,449103500
2014-08-13,夜間,15270,15330,15250,15320,14326,219092260
2014-08-13,日中,15130,15240,15100,15220,28648,435033380
2014-08-12,夜間,15150,15170,15080,15080,14395,217682790
2014-08-12,日中,15160,15240,15110,15150,28437,431443590
2014-08-11,夜間,15100,15190,15100,15160,15210,230389250
2014-08-11,日中,15070,15170,14970,15130,53772,810846970
2014-08-08,夜間,14760,14970,14700,14960,40359,598661490
2014-08-08,日中,15030,15070,14660,14760,115013,1708954980
2014-08-07,夜間,15140,15220,15060,15070,27329,414042290
2014-08-07,日中,15140,15240,15050,15190,71101,1077560270
2014-08-06,夜間,15150,15160,15010,15070,35215,531306590
2014-08-06,日中,15260,15270,15110,15140,62836,954310020
2014-08-05,夜間,15360,15390,15230,15270,22441,344311940
2014-08-05,日中,15510,15510,15300,15340,50670,780228990
2014-08-04,夜間,15470,15470,15390,15460,20339,313890250
2014-08-04,日中,15480,15540,15430,15460,39806,616515390
2014-08-01,夜間,15550,15560,15400,15460,42877,663902020
2014-08-01,日中,15510,15610,15500,15580,44771,696329870
2014-07-31,夜間,15660,15680,15510,15570,34807,542459760
2014-07-31,日中,15750,15770,15600,15650,43874,688572310
2014-07-30,夜間,15640,15760,15620,15750,31187,489832920
2014-07-30,日中,15640,15670,15590,15630,34878,545430760
2014-07-29,夜間,15630,15700,15600,15670,21964,343803960
2014-07-29,日中,15560,15640,15560,15640,40473,631651950
2014-07-28,夜間,15520,15550,15470,15550,20294,314974370
2014-07-28,日中,15430,15560,15420,15510,38586,598197910
2014-07-25,夜間,15460,15550,15400,15420,23584,365219490
2014-07-25,日中,15360,15460,15340,15450,33773,520303220
2014-07-24,夜間,15290,15370,15280,15350,11977,183711820
2014-07-24,日中,15350,15390,15230,15300,34397,526516430
2014-07-23,夜間,15350,15370,15320,15350,8017,122991940
2014-07-23,日中,15360,15380,15310,15330,22162,340035700
2014-07-22,夜間,15330,15390,15310,15380,12393,190315020
2014-07-22,日中,15280,15400,15280,15330,37399,573700010
2014-07-18,夜間,15210,15340,15210,15320,17749,271085460
2014-07-18,日中,15180,15220,15100,15210,52245,792330480
2014-07-17,夜間,15360,15410,15290,15310,20018,307272250
2014-07-17,日中,15420,15470,15350,15370,28887,444997640
2014-07-16,夜間,15400,15470,15380,15440,15077,232652960
2014-07-16,日中,15360,15430,15350,15380,24250,373200900
2014-07-15,夜間,15410,15420,15320,15360,19979,307211090
2014-07-15,日中,15350,15450,15340,15400,34480,530966640
2014-07-14,夜間,15350,15380,15330,15380,10113,155344490
2014-07-14,日中,15200,15330,15170,15320,31077,474282190
2014-07-11,夜間,15200,15220,15120,15170,14593,221504720
2014-07-11,日中,15100,15210,15100,15170,38185,578421100
2014-07-10,夜間,15220,15230,15000,15130,41838,631429970
2014-07-10,日中,15310,15330,15210,15250,30566,466603640
2014-07-09,夜間,15300,15350,15270,15350,12414,190190980
2014-07-09,日中,15200,15300,15180,15300,36253,552981760
2014-07-08,夜間,15340,15350,15200,15230,20030,306224330
2014-07-08,日中,15300,15400,15220,15340,44846,686433920
2014-07-07,夜間,15390,15400,15310,15330,9964,152995210
2014-07-07,日中,15430,15480,15370,15380,27772,428297610
2014-07-04,夜間,15440,15470,15430,15450,3873,59819010
2014-07-04,日中,15510,15510,15420,15440,33650,520001270
2014-07-03,夜間,15350,15450,15340,15430,14335,220789610
2014-07-03,日中,15420,15430,15320,15320,26577,408330910
2014-07-02,夜間,15360,15410,15340,15400,11442,175955900
2014-07-02,日中,15400,15450,15350,15380,33606,517495030
2014-07-01,夜間,15330,15430,15330,15420,13482,207294130
2014-07-01,日中,15170,15400,15140,15310,57029,873201960
2014-06-30,夜間,15170,15190,15130,15170,8638,130950470
2014-06-30,日中,15160,15190,15040,15160,40100,606264490
2014-06-27,夜間,15090,15140,15080,15110,10077,152235600
2014-06-27,日中,15300,15300,15030,15120,67776,1025427140
2014-06-26,夜間,15310,15320,15220,15300,16599,253514690
2014-06-26,日中,15320,15350,15270,15320,26931,412329460
2014-06-25,夜間,15270,15330,15210,15330,14609,223195920
2014-06-25,日中,15290,15340,15250,15260,34302,524497890
2014-06-24,夜間,15430,15480,15320,15390,17691,272328660
2014-06-24,日中,15290,15420,15240,15400,39795,610499920
2014-06-23,夜間,15290,15330,15260,15290,12586,192442450
2014-06-23,日中,15420,15440,15320,15350,37510,576915890
2014-06-20,夜間,15380,15480,15380,15440,11040,170426470
2014-06-20,日中,15340,15430,15290,15380,42648,655137770
2014-06-19,夜間,15320,15370,15300,15350,10889,166995400
2014-06-19,日中,15140,15390,15130,15340,59882,915856400
2014-06-18,夜間,15110,15140,15070,15070,8951,135225740
2014-06-18,日中,15000,15140,14990,15120,30806,464453480
2014-06-17,夜間,15000,15050,14990,15020,9739,146229640
2014-06-17,日中,14960,15020,14940,14990,24273,363546490
2014-06-16,夜間,14960,14960,14880,14950,10789,161016870
2014-06-16,日中,15030,15040,14850,14920,37012,553468090
2014-06-13,夜間,15070,15080,14980,15050,17554,263986270
2014-06-13,日中,14810,15140,14810,15140,58447,873941370
2014-06-12,夜間,15000,15030,14850,14850,13363,200097420
2014-06-12,日中,14940,15000,14850,15000,43402,647953660
2014-06-11,夜間,15040,15050,14920,14950,16495,247161850
2014-06-11,日中,14990,15080,14990,15060,79319,1192158980
2014-06-10,夜間,14960,14990,14910,14980,23074,344655210
2014-06-10,日中,15130,15190,14960,14970,89116,1340848020
2014-06-09,夜間,15130,15150,15090,15150,17417,263613900
2014-06-09,日中,15200,15220,15120,15130,38403,582403700
2014-06-06,夜間,15070,15200,15050,15170,22357,337847500
2014-06-06,日中,15140,15150,15040,15090,51768,781085990
2014-06-05,夜間,15050,15170,15020,15140,24128,364068580
2014-06-05,日中,15130,15150,15010,15060,45958,692764600
2014-06-04,夜間,15050,15150,15000,15140,15459,232770810
2014-06-04,日中,15080,15080,14980,15040,38512,579108060
2014-06-03,夜間,15020,15070,14960,15060,11555,173561010
2014-06-03,日中,15100,15100,15000,15030,43991,662515010
2014-06-02,夜間,14950,15070,14910,15060,24682,369906410
2014-06-02,日中,14780,14980,14770,14940,46329,690173330
2014-05-30,夜間,14660,14750,14650,14710,15726,231165670
2014-05-30,日中,14710,14750,14580,14650,43880,643081380
2014-05-29,夜間,14650,14700,14630,14690,11018,161575810
2014-05-29,日中,14580,14720,14570,14690,35274,516665320
2014-05-28,夜間,14660,14690,14570,14640,13899,203209540
2014-05-28,日中,14650,14730,14600,14680,36666,537865150
2014-05-27,夜間,14600,14700,14560,14640,15760,230614600
2014-05-27,日中,14590,14750,14580,14610,43395,637199270
2014-05-26,夜間,14600,14630,14580,14630,3879,56617840
2014-05-26,日中,14580,14610,14530,14580,27028,393856150
2014-05-23,夜間,14450,14600,14430,14590,15966,231638650
2014-05-23,日中,14400,14540,14400,14420,45726,661527880
2014-05-22,夜間,14300,14440,14300,14430,20347,291990760
2014-05-22,日中,14190,14380,14150,14310,54895,784181850
2014-05-21,夜間,13960,14230,13960,14200,23313,328674640
2014-05-21,日中,13970,14090,13960,14040,31070,435644820
2014-05-20,夜間,14060,14080,13960,13970,15642,219439650
2014-05-20,日中,14090,14150,14040,14060,24574,346349040
2014-05-19,夜間,14040,14090,13900,14080,20683,289332150
2014-05-19,日中,14140,14160,13990,14030,35568,500396300
2014-05-16,夜間,14120,14160,14080,14130,17703,250011640
2014-05-16,日中,14080,14140,14010,14130,41571,584895290
2014-05-15,夜間,14350,14350,14020,14050,23476,332712950
2014-05-15,日中,14270,14320,14190,14300,34082,486072470
2014-05-14,夜間,14400,14410,14290,14310,11903,170598010
2014-05-14,日中,14390,14430,14350,14410,23102,332575970
2014-05-13,夜間,14420,14460,14390,14400,12153,175234810
2014-05-13,日中,14390,14470,14380,14430,31665,456638210
2014-05-12,夜間,14180,14300,14160,14300,8801,125142460
2014-05-12,日中,14170,14240,14130,14170,26686,378551330
2014-05-09,夜間,14200,14210,14100,14150,13395,189606690
2014-05-09,日中,14100,14270,14090,14210,38064,540429870
2014-05-08,夜間,14170,14210,14100,14140,14821,209820890
2014-05-08,日中,14150,14260,14110,14140,37797,535903810
2014-05-07,夜間,14100,14160,14050,14140,20808,293653930
2014-05-07,日中,14280,14290,14020,14070,52738,746015520
2014-05-02,夜間,14470,14570,14360,14380,20521,297295570
2014-05-02,日中,14440,14510,14410,14480,25398,367016920
2014-05-01,夜間,14480,14480,14410,14440,7194,104004480
2014-05-01,日中,14350,14500,14340,14490,43174,623249870
2014-04-30,夜間,14290,14310,14230,14270,13000,185606130
2014-04-30,日中,14420,14440,14220,14220,40952,587103920
2014-04-28,夜間,14300,14390,14250,14300,12715,182316780
2014-04-28,日中,14280,14340,14220,14310,27875,397973100
2014-04-25,夜間,14400,14430,14270,14280,16043,230043030
2014-04-25,日中,14380,14570,14330,14460,44407,641894550
2014-04-24,夜間,14450,14480,14280,14350,21030,302515790
2014-04-24,日中,14560,14570,14370,14420,33893,490100120
2014-04-23,夜間,14520,14550,14430,14480,11715,169673990
2014-04-23,日中,14500,14570,14460,14550,26948,391204000
2014-04-22,夜間,14380,14500,14360,14480,13151,189759960
2014-04-22,日中,14590,14620,14350,14350,31557,457413170
2014-04-21,夜間,14550,14580,14530,14550,5152,74972990
2014-04-21,日中,14550,14660,14500,14530,31194,454900210
2014-04-18,夜間,14530,14530,14500,14520,2198,31910870
2014-04-18,日中,14500,14550,14450,14520,21120,306333320
2014-04-17,夜間,14380,14500,14370,14480,11254,162243590
2014-04-17,日中,14400,14510,14350,14380,46655,673137340
2014-04-16,夜間,14400,14440,14360,14430,17398,250474450
2014-04-16,日中,14180,14430,14160,14420,50481,722696620
2014-04-15,夜間,14020,14120,13900,14010,30480,427102050
2014-04-15,日中,14080,14110,13970,14030,33368,468467680
2014-04-14,夜間,13980,14150,13960,14080,29066,408421400
2014-04-14,日中,13890,14010,13880,13950,37267,519949650
2014-04-11,夜間,14080,14090,13880,13910,33097,462242270
2014-04-11,日中,13940,14060,13850,14060,65521,914593160
2014-04-10,夜間,14320,14330,14010,14070,29583,419755780
2014-04-10,日中,14510,14520,14240,14290,51301,737431030
2014-04-09,夜間,14390,14440,14360,14420,14737,212243300
2014-04-09,日中,14450,14520,14280,14380,70117,1008059810
2014-04-08,夜間,14550,14580,14360,14380,28992,419068990
2014-04-08,日中,14730,14760,14580,14590,49715,729050260
2014-04-07,夜間,14820,14840,14720,14740,14477,214109370
2014-04-07,日中,14870,14910,14770,14810,42427,629605410
2014-04-04,夜間,15100,15170,14860,14860,26546,399801140
2014-04-04,日中,15000,15110,15000,15080,22935,345328350
2014-04-03,夜間,15090,15130,15030,15040,11465,172908940
2014-04-03,日中,15030,15190,14990,15080,47017,709787930
2014-04-02,夜間,14950,15050,14950,15020,13078,196072990
2014-04-02,日中,14910,15090,14890,14970,54614,818700870
2014-04-01,夜間,14740,14880,14740,14880,12291,182060220
2014-04-01,日中,14870,14880,14740,14760,39717,588297710
2014-03-31,夜間,14810,14890,14790,14810,16807,249448330
2014-03-31,日中,14840,14850,14720,14780,40585,600766440
2014-03-28,夜間,14690,14850,14660,14800,15582,230193500
2014-03-28,日中,14570,14730,14530,14700,45348,664024820
2014-03-27,夜間,14600,14630,14510,14550,22479,327483490
2014-03-27,日中,14270,14680,14230,14640,70673,1022098430
2014-03-26,夜間,14380,14490,14360,14370,20008,289070080
2014-03-26,日中,14410,14470,14300,14390,35554,511353030
2014-03-25,夜間,14290,14410,14250,14360,16385,234936650
2014-03-25,日中,14290,14440,14220,14260,35801,513164670
2014-03-24,夜間,14410,14450,14250,14310,16861,241948420
2014-03-24,日中,14180,14430,14180,14400,39934,572625240
2014-03-20,夜間,14160,14310,14160,14300,20216,287853630
2014-03-20,日中,14460,14460,14110,14130,57921,825117070
2014-03-19,夜間,14420,14490,14370,14430,15506,223867530
2014-03-19,日中,14440,14590,14210,14420,64774,932125030
2014-03-18,夜間,14290,14440,14190,14370,31822,455596320
2014-03-18,日中,14450,14460,14310,14340,35013,503560540
2014-03-17,夜間,14290,14430,14230,14400,22308,320306960
2014-03-17,日中,14180,14280,14110,14270,57646,819174910
2014-03-14,夜間,14250,14320,14040,14240,46391,658996330
2014-03-14,日中,14360,14390,14190,14220,70780,1011963250
2014-03-13,夜間,14720,14770,14280,14370,29953,436836520
2014-03-13,日中,14840,14940,14750,14750,36594,544167050
2014-03-12,夜間,14820,14890,14680,14800,31514,465895510
2014-03-12,日中,14990,15010,14810,14830,99686,1486071410
2014-03-11,夜間,15200,15220,15030,15070,32791,496841340
2014-03-11,日中,15180,15270,15120,15210,72485,1102055550
